threshold,approval_rate,decline_rate,precision,recall_bad_loan_capture_rate,f1_score,false_positive_rate,true_positive,false_positive,true_negative,false_negative
0.01,0.5203,0.4797,0.0349,0.9011,0.0671,0.4717,3116,86270,96622,342
0.02,0.7181,0.2819,0.05,0.76,0.0939,0.2729,2628,49913,132979,830
0.03,0.8163,0.1837,0.0631,0.6252,0.1147,0.1754,2162,32077,150815,1296
0.04,0.8747,0.1253,0.0762,0.5142,0.1327,0.1179,1778,21568,161324,1680
0.05,0.9123,0.0877,0.0863,0.4078,0.1424,0.0816,1410,14929,167963,2048
0.06,0.9371,0.0629,0.0988,0.3352,0.1527,0.0578,1159,10567,172325,2299
0.07,0.9541,0.0459,0.1104,0.273,0.1572,0.0416,944,7606,175286,2514
0.08,0.9663,0.0337,0.1231,0.2238,0.1588,0.0301,774,5514,177378,2684
0.09,0.9749,0.0251,0.1354,0.1831,0.1557,0.0221,633,4042,178850,2825
0.1,0.9812,0.0188,0.1535,0.1556,0.1545,0.0162,538,2967,179925,2920
0.11,0.9858,0.0142,0.1626,0.1243,0.1409,0.0121,430,2214,180678,3028
0.12,0.9893,0.0107,0.177,0.1018,0.1292,0.009,352,1637,181255,3106
0.13,0.992,0.008,0.2063,0.0891,0.1244,0.0065,308,1185,181707,3150
0.14,0.9939,0.0061,0.2344,0.0769,0.1158,0.0048,266,869,182023,3192
0.15,0.9952,0.0048,0.2658,0.0682,0.1086,0.0036,236,652,182240,3222
0.16,0.9962,0.0038,0.2929,0.0593,0.0986,0.0027,205,495,182397,3253
0.17,0.997,0.003,0.3303,0.0532,0.0917,0.002,184,373,182519,3274
0.18,0.9976,0.0024,0.3728,0.0483,0.0855,0.0015,167,281,182611,3291
0.19,0.998,0.002,0.4187,0.0454,0.0819,0.0012,157,218,182674,3301
0.2,0.9983,0.0017,0.471,0.0422,0.0775,0.0009,146,164,182728,3312
0.21,0.9986,0.0014,0.4866,0.0367,0.0683,0.0007,127,134,182758,3331
0.22,0.9988,0.0012,0.5275,0.0333,0.0626,0.0006,115,103,182789,3343
0.23,0.999,0.001,0.5654,0.0312,0.0592,0.0005,108,83,182809,3350
0.24,0.9991,0.0009,0.5848,0.0289,0.0551,0.0004,100,71,182821,3358
0.25,0.9992,0.0008,0.6139,0.0281,0.0537,0.0003,97,61,182831,3361
0.26,0.9992,0.0008,0.6479,0.0266,0.0511,0.0003,92,50,182842,3366
0.27,0.9993,0.0007,0.6769,0.0254,0.0491,0.0002,88,42,182850,3370
0.28,0.9993,0.0007,0.7073,0.0252,0.0486,0.0002,87,36,182856,3371
0.29,0.9994,0.0006,0.7411,0.024,0.0465,0.0002,83,29,182863,3375
0.3,0.9994,0.0006,0.7596,0.0228,0.0444,0.0001,79,25,182867,3379
0.31,0.9995,0.0005,0.7812,0.0217,0.0422,0.0001,75,21,182871,3383
0.32,0.9995,0.0005,0.7912,0.0208,0.0406,0.0001,72,19,182873,3386
0.33,0.9995,0.0005,0.7865,0.0202,0.0395,0.0001,70,19,182873,3388
0.34,0.9995,0.0005,0.8023,0.02,0.0389,0.0001,69,17,182875,3389
0.35,0.9996,0.0004,0.8049,0.0191,0.0373,0.0001,66,16,182876,3392
0.36,0.9996,0.0004,0.8,0.0185,0.0362,0.0001,64,16,182876,3394
0.37,0.9996,0.0004,0.8108,0.0174,0.034,0.0001,60,14,182878,3398
0.38,0.9996,0.0004,0.8286,0.0168,0.0329,0.0001,58,12,182880,3400
0.39,0.9996,0.0004,0.8358,0.0162,0.0318,0.0001,56,11,182881,3402
0.4,0.9996,0.0004,0.8358,0.0162,0.0318,0.0001,56,11,182881,3402
0.41,0.9996,0.0004,0.8333,0.0159,0.0312,0.0001,55,11,182881,3403
0.42,0.9997,0.0003,0.8281,0.0153,0.0301,0.0001,53,11,182881,3405
0.43,0.9997,0.0003,0.8281,0.0153,0.0301,0.0001,53,11,182881,3405
0.44,0.9997,0.0003,0.8254,0.015,0.0295,0.0001,52,11,182881,3406
0.45,0.9997,0.0003,0.8226,0.0147,0.029,0.0001,51,11,182881,3407
0.46,0.9997,0.0003,0.8361,0.0147,0.029,0.0001,51,10,182882,3407
0.47,0.9997,0.0003,0.8361,0.0147,0.029,0.0001,51,10,182882,3407
0.48,0.9997,0.0003,0.8333,0.0145,0.0284,0.0001,50,10,182882,3408
0.49,0.9997,0.0003,0.8246,0.0136,0.0267,0.0001,47,10,182882,3411
0.5,0.9997,0.0003,0.8246,0.0136,0.0267,0.0001,47,10,182882,3411
0.51,0.9997,0.0003,0.8182,0.013,0.0256,0.0001,45,10,182882,3413
0.52,0.9997,0.0003,0.8182,0.013,0.0256,0.0001,45,10,182882,3413
0.53,0.9997,0.0003,0.8148,0.0127,0.0251,0.0001,44,10,182882,3414
0.54,0.9997,0.0003,0.8113,0.0124,0.0245,0.0001,43,10,182882,3415
0.55,0.9997,0.0003,0.8077,0.0121,0.0239,0.0001,42,10,182882,3416
0.56,0.9997,0.0003,0.8077,0.0121,0.0239,0.0001,42,10,182882,3416
0.57,0.9997,0.0003,0.8039,0.0119,0.0234,0.0001,41,10,182882,3417
0.58,0.9997,0.0003,0.8,0.0116,0.0228,0.0001,40,10,182882,3418
0.59,0.9997,0.0003,0.7959,0.0113,0.0222,0.0001,39,10,182882,3419
0.6,0.9997,0.0003,0.7872,0.0107,0.0211,0.0001,37,10,182882,3421
0.61,0.9998,0.0002,0.7826,0.0104,0.0205,0.0001,36,10,182882,3422
0.62,0.9998,0.0002,0.7561,0.009,0.0177,0.0001,31,10,182882,3427
0.63,0.9998,0.0002,0.75,0.0087,0.0172,0.0001,30,10,182882,3428
0.64,0.9998,0.0002,0.7632,0.0084,0.0166,0.0,29,9,182883,3429
0.65,0.9998,0.0002,0.7568,0.0081,0.016,0.0,28,9,182883,3430
0.66,0.9998,0.0002,0.75,0.0078,0.0155,0.0,27,9,182883,3431
0.67,0.9998,0.0002,0.7353,0.0072,0.0143,0.0,25,9,182883,3433
0.68,0.9998,0.0002,0.7273,0.0069,0.0137,0.0,24,9,182883,3434
0.69,0.9998,0.0002,0.7188,0.0067,0.0132,0.0,23,9,182883,3435
0.7,0.9998,0.0002,0.6897,0.0058,0.0115,0.0,20,9,182883,3438
0.71,0.9999,0.0001,0.6667,0.0052,0.0103,0.0,18,9,182883,3440
0.72,0.9999,0.0001,0.64,0.0046,0.0092,0.0,16,9,182883,3442
0.73,0.9999,0.0001,0.5909,0.0038,0.0075,0.0,13,9,182883,3445
0.74,0.9999,0.0001,0.5909,0.0038,0.0075,0.0,13,9,182883,3445
0.75,0.9999,0.0001,0.5714,0.0035,0.0069,0.0,12,9,182883,3446
0.76,0.9999,0.0001,0.55,0.0032,0.0063,0.0,11,9,182883,3447
0.77,0.9999,0.0001,0.55,0.0032,0.0063,0.0,11,9,182883,3447
0.78,0.9999,0.0001,0.5263,0.0029,0.0058,0.0,10,9,182883,3448
0.79,0.9999,0.0001,0.4706,0.0023,0.0046,0.0,8,9,182883,3450
0.8,0.9999,0.0001,0.4375,0.002,0.004,0.0,7,9,182883,3451
0.81,0.9999,0.0001,0.3571,0.0014,0.0029,0.0,5,9,182883,3453
0.82,0.9999,0.0001,0.25,0.0009,0.0017,0.0,3,9,182883,3455
0.83,0.9999,0.0001,0.1818,0.0006,0.0012,0.0,2,9,182883,3456
0.84,0.9999,0.0001,0.1818,0.0006,0.0012,0.0,2,9,182883,3456
0.85,0.9999,0.0001,0.1818,0.0006,0.0012,0.0,2,9,182883,3456
0.86,0.9999,0.0001,0.1,0.0003,0.0006,0.0,1,9,182883,3457
0.87,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.88,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.89,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.9,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.91,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.92,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.93,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.94,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.95,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.96,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.97,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.98,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.99,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
